Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Hey Ya!,2004,2PpruBYCo4H7WOBJ7Q2EwM,Outkast,235213,83,0.727,0.0664,0.965
Goodies,2004,3dFwpxh2yH7C7p9BGEKLVB,Ciara,223000,69,0.826,0.0491,0.872
Lean Back,2004,2Ozc0me9PV5vlt8cokwdvI,Terror Squad,247426,67,0.783,0.415,0.695
Tipsy,2004,0jSMveIWvnhDIvzqN74Uc7,J-Kwon,243226,65,0.925,0.367,0.656
Confessions Part II,2004,7wBThXx7BGZHJJ3aN3OPvv,USHER,211200,71,0.845,0.138,0.702
Slow Motion,2004,6ihObRBTB8xdSH2mlERtOX,JUVENILE,248200,66,0.713,0.325,0.89
Freek-a-Leek,2004,4MeDnO5yA2Zi6IMlVApRci,Petey Pablo,235186,70,0.756,0.178,0.632
Here Without You,2004,3NLrRZoMF0Lx6zTlYqeIo4,3 Doors Down,238733,77,0.557,0.0252,0.233
Slow Jamz,2004,3A4cpTBPaIQdtPFb5JxtaX,Twista,316053,72,0.559,0.171,0.611
Someday,2004,7hm4HTk9encxT0LYC0J6oI,The Strokes,183440,69,0.539,0.0299,0.679
Naughty Girl,2004,0YGQ3hZcRLC5YX7o0hdmHg,Beyoncé,208573,67,0.588,0.161,0.659
My Immortal,2004,4UzVcXufOhGUwF56HT7b8M,Evanescence,262533,75,0.19,0.0356,0.101
Sunshine,2004,5r43qanLhUCdBj8HN3fa6B,OneRepublic,163854,80,0.697,0.034,0.774
Dirt Off Your Shoulder,2004,3IrkbGQCoEPAkzJ0Tkv8nm,JAY-Z,245173,65,0.78,0.317,0.648
Move Ya Body,2004,2ndnVdR8si7CW9T8vJRHyW,Nina Sky,232000,68,0.87,0.0432,0.877
Dip It Low,2004,4L55p6txv9vuCWhpNnY6eY,Christina Milian,201000,54,0.754,0.111,0.576
My Boo,2004,68vgtRHr7iZHpzGpon6Jlo,USHER,223440,80,0.662,0.118,0.676
One Call Away,2004,7soJgKhQTO8hLP2JPRkL5O,Charlie Puth,194453,66,0.667,0.0344,0.47
"Me, Myself and I",2004,6XsT5UGfpaFeHQf5LRIy4W,Beyoncé,301133,63,0.75,0.0803,0.536
Turn Me On,2004,1qzHqfvKrZWo6dVHM1dXrj,Norah Jones,154800,71,0.429,0.0551,0.485
