Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
You Right,2021,0k4d5YPDr1r7FX77VdqWez,Doja Cat,186173,82,0.828,0.0565,0.436
Beat Box,2021,2LbNkvmYabhVf9jBCVeLm7,SpotemGottem,212026,65,0.816,0.382,0.392
Laugh Now Cry Later,2021,2SAqBLGA283SUiwJ3xOUVI,Drake,261492,79,0.761,0.134,0.522
Need to Know,2021,3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,210560,81,0.664,0.0707,0.194
Wants and Needs,2021,65OVbaJR5O1RmwOQx0875b,Drake,192956,82,0.578,0.286,0.1
Way 2 Sexy,2021,0k1WUmIRnG3xU6fvvDVfRG,Drake,257604,77,0.803,0.141,0.331
Telepatía,2021,6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,160191,84,0.653,0.0502,0.553
Whoopty,2021,5vGLcdRuSbUhD8ScwsGSdA,CJ,123262,71,0.719,0.125,0.66
Lemonade,2021,26qQf1Wmyy3ZZkagqCu5kp,Tay-K,132000,69,0.744,0.602,0.228
Good Days,2021,4PMqSO5qyjpvzhlLI5GnID,SZA,278480,79,0.461,0.0568,0.383
Starting Over,2021,3K07bGe8iljQ3mOKArHLDo,Chris Stapleton,240413,77,0.638,0.0315,0.318
Body,2021,21RzyxY3EFaxVy6K4RqaU9,Loud Luxury,163216,79,0.752,0.038,0.582
Willow,2021,0lx2cLdOt3piJbcaXIV74f,Taylor Swift,214706,80,0.392,0.17,0.529
Bang!,2021,5FQPpxOXsvkMN6v18gtpwY,AJR,170858,71,0.74,0.0506,0.698
Better Together,2021,6gdLyYNuhWBzqwlOFSsXC7,Luke Combs,219573,75,0.552,0.0477,0.67
You're Mines Still,2021,6tiKwZppNjrls8RsPQwK6r,Yung Bleu,226220,72,0.613,0.107,0.342
Every Chance I Get,2021,1EJIcDYXwSqipW5dFe4uJz,DJ Khaled,236524,78,0.477,0.286,0.227
Essence,2021,5FG7Tl93LdH117jEKYl3Cm,Wizkid,248040,74,0.849,0.113,0.602
Chasing After You,2021,3MkXV52jXtsG4pvKp4cGE8,Ryan Hurd,207666,66,0.601,0.0399,0.446
The Good Ones,2021,3hLuHKzG1cmlRpq53ZVWd8,Gabby Barrett,215140,73,0.519,0.0259,0.331
Leave Before You Love Me,2021,4qu63nuBpdn0qHUHuObEj1,Marshmello,154983,83,0.721,0.0403,0.637
Glad You Exist,2021,3oV2RVOmwdWdf9BmGS4Oad,Dan + Shay,144760,64,0.741,0.0356,0.692
Lonely,2021,2twxE40bJrzrmT3m8U02lr,Justin Bieber,149189,0,0.619,0.046,0.0719
Beggin',2021,3Wrjm47oTz2sjIgck11l5e,Måneskin,211560,84,0.714,0.0504,0.589
Streets,2021,60ynsPSSKe6O3sfwRnIBRf,Doja Cat,226986,83,0.749,0.0842,0.189
What's Next,2021,3mDFLytDotXo2p0rvfGbkA,Drake,178153,55,0.777,0.0525,0.0636
Famous Friends,2021,00KyYtT6NaXwbPecina5Pj,Chris Young,166506,68,0.535,0.0344,0.698
Lil Bit,2021,0NmuYnjETG3u3qx0OmEJev,Nelly,195962,68,0.707,0.0387,0.41
Thot Shit,2021,5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,184634,68,0.95,0.0898,0.891
Late at Night,2021,6kksmL4t09IgxhajuVDDxR,Roddy Ricch,174549,68,0.621,0.437,0.141
Kings & Queens,2021,5WbfFTuIldjL9x7W6y5l7R,Faye Webster,202653,79,0.73,0.0359,0.56
Anyone,2021,1WT2j6EUCVnY6MjnFzYRi2,Justin Bieber,190779,0,0.686,0.0345,0.584
Track Star,2021,5hChuUMe5iHfjkXgzj1D4b,Mooski,199706,57,0.641,0.324,0.285
Time Today,2021,0YrKSfpvflYnLSBd4Jtu6J,Moneybagg Yo,136899,72,0.912,0.397,0.327
Cry Baby,2021,0EfsDEYaSjGYd66Pr881nq,The Neighbourhood,235160,74,0.581,0.0294,0.338
All I Want for Christmas Is You,2021,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,241106,75,0.336,0.0384,0.35
No More Parties,2021,0zLClc0emc6qUeV1p5nc99,Kanye West,374413,73,0.508,0.303,0.681
What's Your Country Song,2021,4oR2cCQGs0Yt0Mgr2diV6V,Thomas Rhett,171333,68,0.359,0.0309,0.479
One Too Many,2021,5NUXE8W12lWcUXgJRCjeEw,Keith Urban,203893,66,0.697,0.068,0.594
Arcade,2021,1Xi84slp6FryDSCbzq4UCD,Duncan Laurence,183624,78,0.45,0.0441,0.266
Yonaguni,2021,2JPLbjOn0wPCngEot2STUS,Bad Bunny,206710,82,0.644,0.118,0.44
Good Time,2021,1kPpge9JDLpcj15qgrPbYX,Owl City,205933,78,0.56,0.14,0.682
If I Didn't Love You,2021,1WQ40xJSvgDmD9K7ckJwux,Jason Aldean,212030,70,0.456,0.0324,0.483
Knife Talk,2021,2BcMwX1MPV6ZHP4tUT9uq6,Drake,242965,82,0.849,0.324,0.153
POV,2021,3UoULw70kMsiVXxW0L3A33,Ariana Grande,201882,74,0.487,0.0555,0.173
Just the Way,2021,7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,220734,85,0.635,0.0422,0.424
Take My Breath,2021,4jtW7gNMGhVR49Yx2nfNlb,The Weeknd,220196,1,0.747,0.0487,0.523
We're Good,2021,1diS6nkxMQc3wwC4G1j0bh,Dua Lipa,165506,74,0.722,0.0544,0.59
Hell of a View,2021,4mXGooManGPH6xAWRAtRJU,Eric Church,175026,70,0.689,0.0235,0.919
Rockin' Around the Christmas Tree,2021,2EjXfH91m7f8HiJN1yQg97,Brenda Lee,126266,67,0.589,0.0502,0.898
Put Your Records On,2021,2nGFzvICaeEWjIrBrL2RAx,Corinne Bailey Rae,215360,80,0.739,0.0362,0.542
Happier Than Ever,2021,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,298899,86,0.332,0.0348,0.297
Single Saturday Night,2021,6LnIxE8CqkK7faQV76nEHS,Cole Swindell,189960,64,0.634,0.0411,0.653
Things a Man Oughta Know,2021,5QS8PNEWbqTEZyQ6e9ZbJf,Lainey Wilson,203373,74,0.659,0.0312,0.397
Throat Baby (Go Baby),2021,15C4TnrrVdym7UykxQIOTZ,BRS Kash,211609,55,0.878,0.324,0.397
Tombstone,2021,3zc8VZEpM1onYV4FWGdFvm,Rod Wave,160078,70,0.55,0.163,0.535
Drinkin' Beer. Talkin' God. Amen.,2021,1b8TpvCFqmJTd2xz9xE9s1,Chase Rice,160839,59,0.627,0.0294,0.724
